source,target,value
Omega_6,PC36:4(20:4),0.3
PUFA,PC36:4(20:4),0.3
SFA,PC36:4(20:4),0.3
LA,PC36:4(20:4),0.3
DHA,PC36:4(20:4),0.3
Omega_3_pct,PC36:4(20:4),0.3
Glucose,PC36:4(20:4),0.3
Pyruvate,PC36:4(20:4),0.3
Acetoacetate,PC36:4(20:4),0.3
Albumin,PC36:4(20:4),0.3
M_VLDL_P,PC36:4(20:4),0.3
M_VLDL_PL,PC36:4(20:4),0.3
M_VLDL_C,PC36:4(20:4),0.3
M_VLDL_FC,PC36:4(20:4),0.3
S_VLDL_PL,PC36:4(20:4),0.3
S_VLDL_C,PC36:4(20:4),0.3
S_VLDL_FC,PC36:4(20:4),0.3
XS_VLDL_P,PC36:4(20:4),0.3
XS_VLDL_L,PC36:4(20:4),0.3
XS_VLDL_PL,PC36:4(20:4),0.3
XS_VLDL_C,PC36:4(20:4),0.3
XS_VLDL_CE,PC36:4(20:4),0.3
XS_VLDL_FC,PC36:4(20:4),0.3
IDL_L,PC36:4(20:4),0.3
IDL_PL,PC36:4(20:4),0.3
L_LDL_P,PC36:4(20:4),0.3
L_LDL_L,PC36:4(20:4),0.3
L_LDL_PL,PC36:4(20:4),0.3
L_LDL_C,PC36:4(20:4),0.3
L_LDL_CE,PC36:4(20:4),0.3
M_LDL_P,PC36:4(20:4),0.3
M_LDL_L,PC36:4(20:4),0.3
M_LDL_PL,PC36:4(20:4),0.3
M_LDL_C,PC36:4(20:4),0.3
M_LDL_CE,PC36:4(20:4),0.3
S_LDL_P,PC36:4(20:4),0.3
S_LDL_CE,PC36:4(20:4),0.3
S_HDL_P,PC36:4(20:4),0.3
S_HDL_L,PC36:4(20:4),0.3
S_HDL_PL,PC36:4(20:4),0.3
S_HDL_C,PC36:4(20:4),0.3
S_HDL_FC,PC36:4(20:4),0.3
L_LDL_CE_pct,PC36:4(20:4),0.3
S_HDL_CE,PC36:4(20:3),0.3
Total_P,PC36:3(20:3),0.3
HDL_P,PC36:3(20:3),0.3
Acetone,PC36:3(20:3),0.3
S_HDL_C,PC36:3(20:3),0.3
S_HDL_CE,PC36:3(20:3),0.3
XS_VLDL_P,PC36:2(18:1),0.3
XS_VLDL_L,PC36:2(18:1),0.3
XS_VLDL_PL,PC36:2(18:1),0.3
XS_VLDL_FC,PC36:2(18:1),0.3
Omega_3,PC38:6(20:4),0.3
Total_PL,PC38:5(22:5),0.3
Total_L,PC38:5(22:5),0.3
Phosphoglyc,PC38:5(22:5),0.3
Cholines,PC38:5(22:5),0.3
Omega_6,PC38:5(22:5),0.3
PUFA,PC38:5(22:5),0.3
LA,PC38:5(22:5),0.3
Glucose,PC38:5(22:5),0.3
Acetoacetate,PC38:5(22:5),0.3
Albumin,PC38:5(22:5),0.3
S_HDL_P,PC38:5(22:5),0.3
S_HDL_L,PC38:5(22:5),0.3
S_HDL_FC,PC38:5(22:5),0.3
Omega_3,PC38:5(20:4),0.3
Total_PL,PC38:4(20:4),0.3
Total_FC,PC38:4(20:4),0.3
Total_L,PC38:4(20:4),0.3
Cholines,PC38:4(20:4),0.3
Total_FA,PC38:4(20:4),0.3
Omega_3,PC38:4(20:4),0.3
Omega_6,PC38:4(20:4),0.3
PUFA,PC38:4(20:4),0.3
LA,PC38:4(20:4),0.3
DHA,PC38:4(20:4),0.3
Glucose,PC38:4(20:4),0.3
Acetoacetate,PC38:4(20:4),0.3
S_VLDL_PL,PC38:4(20:4),0.3
XS_VLDL_L,PC38:4(20:4),0.3
S_HDL_FC,PC38:4(20:4),0.3
LDL_TG,PC40:7(22:5),0.3
Total_L,PC40:7(22:5),0.3
Total_FA,PC40:7(22:5),0.3
Omega_3,PC40:7(22:5),0.3
Omega_6,PC40:7(22:5),0.3
PUFA,PC40:7(22:5),0.3
SFA,PC40:7(22:5),0.3
LA,PC40:7(22:5),0.3
XS_VLDL_P,PC40:7(22:5),0.3
XS_VLDL_L,PC40:7(22:5),0.3
XS_VLDL_PL,PC40:7(22:5),0.3
XS_VLDL_TG,PC40:7(22:5),0.3
IDL_TG,PC40:7(22:5),0.3
L_LDL_TG,PC40:7(22:5),0.3
XL_HDL_TG,PC40:7(22:5),0.3
Total_C,PC40:7(20:4),0.3
non_HDL_C,PC40:7(20:4),0.3
Remnant_C,PC40:7(20:4),0.3
Total_PL,PC40:7(20:4),0.3
Total_CE,PC40:7(20:4),0.3
LDL_CE,PC40:7(20:4),0.3
Total_FC,PC40:7(20:4),0.3
Total_L,PC40:7(20:4),0.3
LDL_L,PC40:7(20:4),0.3
Total_P,PC40:7(20:4),0.3
Phosphoglyc,PC40:7(20:4),0.3
Cholines,PC40:7(20:4),0.3
Phosphatidylc,PC40:7(20:4),0.3
Sphingomyelins,PC40:7(20:4),0.3
Omega_3,PC40:7(20:4),0.3
Omega_6,PC40:7(20:4),0.3
PUFA,PC40:7(20:4),0.3
LA,PC40:7(20:4),0.3
DHA,PC40:7(20:4),0.3
Glucose,PC40:7(20:4),0.3
Citrate,PC40:7(20:4),0.3
bOHbutyrate,PC40:7(20:4),0.3
Acetoacetate,PC40:7(20:4),0.3
Albumin,PC40:7(20:4),0.3
IDL_L,PC40:7(20:4),0.3
L_LDL_L,PC40:7(20:4),0.3
L_LDL_C,PC40:7(20:4),0.3
L_LDL_CE,PC40:7(20:4),0.3
S_HDL_P,PC40:7(20:4),0.3
S_HDL_L,PC40:7(20:4),0.3
S_HDL_PL,PC40:7(20:4),0.3
S_HDL_C,PC40:7(20:4),0.3
S_HDL_CE,PC40:7(20:4),0.3
S_HDL_FC,PC40:7(20:4),0.3
L_LDL_CE_pct,PC40:7(20:4),0.3
S_HDL_P,PC40:7(20:3),0.3
S_HDL_C,PC40:7(20:3),0.3
S_HDL_CE,PC40:7(20:3),0.3
Total_P,PC40:6(22:6),0.3
Total_P,PC40:5(22:5),0.3
Cholines,PC40:5(22:5),0.3
S_HDL_C,PC40:5(22:5),0.3
S_HDL_FC,PC40:5(22:5),0.3
Omega_3,PC40:5(20:4),0.3
PUFA,PC40:5(20:4),0.3
XS_VLDL_P,PC40:5(20:4),0.3
XS_VLDL_L,PC40:5(20:4),0.3
XS_VLDL_PL,PC40:5(20:4),0.3
XS_VLDL_FC,PC40:5(20:4),0.3
IDL_TG,PC40:5(20:4),0.3
L_LDL_TG,PC40:5(20:4),0.3
Total_PL,PC36:4p(20:4),0.3
Omega_3,PC36:4p(20:4),0.3
DHA,PC36:4p(20:4),0.3
XS_VLDL_P,PC36:4p(20:4),0.3
XS_VLDL_L,PC36:4p(20:4),0.3
XS_VLDL_PL,PC36:4p(20:4),0.3
XS_VLDL_C,PC36:4p(20:4),0.3
XS_VLDL_CE,PC36:4p(20:4),0.3
XS_VLDL_FC,PC36:4p(20:4),0.3
XL_HDL_PL_pct,LPE16:0,0.3
Phosphoglyc,PE34:2(16:0),0.3
Cholines,PE34:2(16:0),0.3
Phosphatidylc,PE34:2(16:0),0.3
XS_VLDL_L,PE34:2(16:0),0.3
XL_HDL_TG,PE34:2(16:0),0.3
L_HDL_TG,PE34:2(16:0),0.3
Phosphoglyc,PE34:1(16:0),0.3
Cholines,PE34:1(16:0),0.3
Phosphatidylc,PE34:1(16:0),0.3
L_HDL_TG,PE34:1(16:0),0.3
Phosphoglyc,PE36:3(16:0),0.3
Cholines,PE36:3(16:0),0.3
Phosphatidylc,PE36:3(16:0),0.3
Acetoacetate,PE36:3(16:0),0.3
L_HDL_TG,PE36:3(16:0),0.3
LDL_TG,PE36:3(18:1),0.3
HDL_TG,PE36:3(18:1),0.3
Phosphoglyc,PE36:3(18:1),0.3
Total_FA,PE36:3(18:1),0.3
Omega_3,PE36:3(18:1),0.3
SFA,PE36:3(18:1),0.3
SFA_pct,PE36:3(18:1),0.3
XS_VLDL_P,PE36:3(18:1),0.3
XS_VLDL_L,PE36:3(18:1),0.3
XS_VLDL_PL,PE36:3(18:1),0.3
XS_VLDL_FC,PE36:3(18:1),0.3
XS_VLDL_TG,PE36:3(18:1),0.3
IDL_TG,PE36:3(18:1),0.3
L_LDL_TG,PE36:3(18:1),0.3
M_LDL_TG,PE36:3(18:1),0.3
XL_HDL_TG,PE36:3(18:1),0.3
L_HDL_TG,PE36:3(18:1),0.3
M_HDL_TG,PE36:3(18:1),0.3
S_HDL_TG,PE36:3(18:1),0.3
XXL_VLDL_PL_pct,PE36:3(18:1),0.3
L_LDL_TG_pct,PE36:3(18:1),0.3
M_LDL_TG_pct,PE36:3(18:1),0.3
S_LDL_TG_pct,PE36:3(18:1),0.3
LDL_TG,PE36:2(18:1),0.3
HDL_TG,PE36:2(18:1),0.3
Total_FA,PE36:2(18:1),0.3
Omega_3,PE36:2(18:1),0.3
MUFA,PE36:2(18:1),0.3
SFA,PE36:2(18:1),0.3
S_VLDL_TG,PE36:2(18:1),0.3
XS_VLDL_P,PE36:2(18:1),0.3
XS_VLDL_L,PE36:2(18:1),0.3
XS_VLDL_PL,PE36:2(18:1),0.3
XS_VLDL_FC,PE36:2(18:1),0.3
XS_VLDL_TG,PE36:2(18:1),0.3
IDL_TG,PE36:2(18:1),0.3
L_LDL_TG,PE36:2(18:1),0.3
M_LDL_TG,PE36:2(18:1),0.3
S_LDL_TG,PE36:2(18:1),0.3
XL_HDL_TG,PE36:2(18:1),0.3
L_HDL_TG,PE36:2(18:1),0.3
M_HDL_TG,PE36:2(18:1),0.3
S_HDL_TG,PE36:2(18:1),0.3
XXL_VLDL_PL_pct,PE36:2(18:1),0.3
L_VLDL_PL_pct,PE36:2(18:1),0.3
L_LDL_TG_pct,PE36:2(18:1),0.3
M_LDL_TG_pct,PE36:2(18:1),0.3
S_LDL_CE_pct,PE36:2(18:1),0.3
S_LDL_TG_pct,PE36:2(18:1),0.3
M_HDL_TG_pct,PE36:2(18:1),0.3
S_HDL_TG_pct,PE36:2(18:1),0.3
HDL_TG,PE36:2(18:0),0.3
Phosphoglyc,PE36:2(18:0),0.3
Phosphatidylc,PE36:2(18:0),0.3
Omega_3,PE36:2(18:0),0.3
Acetoacetate,PE36:2(18:0),0.3
IDL_TG,PE36:2(18:0),0.3
L_LDL_TG,PE36:2(18:0),0.3
XL_HDL_TG,PE36:2(18:0),0.3
L_HDL_TG,PE36:2(18:0),0.3
M_HDL_TG,PE36:2(18:0),0.3
HDL_TG,PE36:1(18:0),0.3
Phosphoglyc,PE36:1(18:0),0.3
Phosphatidylc,PE36:1(18:0),0.3
Omega_3,PE36:1(18:0),0.3
Acetoacetate,PE36:1(18:0),0.3
XS_VLDL_P,PE36:1(18:0),0.3
XS_VLDL_L,PE36:1(18:0),0.3
XS_VLDL_PL,PE36:1(18:0),0.3
XS_VLDL_TG,PE36:1(18:0),0.3
IDL_TG,PE36:1(18:0),0.3
L_LDL_TG,PE36:1(18:0),0.3
XL_HDL_TG,PE36:1(18:0),0.3
L_HDL_TG,PE36:1(18:0),0.3
M_HDL_TG,PE36:1(18:0),0.3
LDL_TG,PE36:4(20:4),0.3
Total_PL,PE36:4(20:4),0.3
Total_FC,PE36:4(20:4),0.3
Total_L,PE36:4(20:4),0.3
Total_P,PE36:4(20:4),0.3
Phosphoglyc,PE36:4(20:4),0.3
Cholines,PE36:4(20:4),0.3
Phosphatidylc,PE36:4(20:4),0.3
Sphingomyelins,PE36:4(20:4),0.3
Total_FA,PE36:4(20:4),0.3
Omega_3,PE36:4(20:4),0.3
Omega_6,PE36:4(20:4),0.3
PUFA,PE36:4(20:4),0.3
SFA,PE36:4(20:4),0.3
LA,PE36:4(20:4),0.3
DHA,PE36:4(20:4),0.3
Glucose,PE36:4(20:4),0.3
Pyruvate,PE36:4(20:4),0.3
Acetoacetate,PE36:4(20:4),0.3
XS_VLDL_P,PE36:4(20:4),0.3
XS_VLDL_L,PE36:4(20:4),0.3
XS_VLDL_PL,PE36:4(20:4),0.3
XS_VLDL_C,PE36:4(20:4),0.3
XS_VLDL_CE,PE36:4(20:4),0.3
XS_VLDL_FC,PE36:4(20:4),0.3
IDL_PL,PE36:4(20:4),0.3
IDL_TG,PE36:4(20:4),0.3
L_LDL_TG,PE36:4(20:4),0.3
XL_HDL_TG,PE36:4(20:4),0.3
L_HDL_TG,PE36:4(20:4),0.3
S_HDL_FC,PE36:4(20:4),0.3
S_HDL_FC_pct,PE36:4(20:4),0.3
Total_PL,PE38:6(22:6),0.3
HDL_PL,PE38:6(22:6),0.3
HDL_FC,PE38:6(22:6),0.3
Total_L,PE38:6(22:6),0.3
HDL_L,PE38:6(22:6),0.3
Total_P,PE38:6(22:6),0.3
Phosphoglyc,PE38:6(22:6),0.3
Cholines,PE38:6(22:6),0.3
Phosphatidylc,PE38:6(22:6),0.3
Sphingomyelins,PE38:6(22:6),0.3
ApoA1,PE38:6(22:6),0.3
Total_FA,PE38:6(22:6),0.3
Omega_3,PE38:6(22:6),0.3
Omega_6,PE38:6(22:6),0.3
PUFA,PE38:6(22:6),0.3
SFA,PE38:6(22:6),0.3
LA,PE38:6(22:6),0.3
DHA,PE38:6(22:6),0.3
Glucose,PE38:6(22:6),0.3
Acetoacetate,PE38:6(22:6),0.3
XS_VLDL_P,PE38:6(22:6),0.3
XS_VLDL_L,PE38:6(22:6),0.3
XS_VLDL_PL,PE38:6(22:6),0.3
XS_VLDL_C,PE38:6(22:6),0.3
XS_VLDL_CE,PE38:6(22:6),0.3
XS_VLDL_FC,PE38:6(22:6),0.3
IDL_PL,PE38:6(22:6),0.3
IDL_TG,PE38:6(22:6),0.3
L_LDL_TG,PE38:6(22:6),0.3
XL_HDL_P,PE38:6(22:6),0.3
XL_HDL_TG,PE38:6(22:6),0.3
L_HDL_TG,PE38:6(22:6),0.3
M_HDL_L,PE38:6(22:6),0.3
M_HDL_PL,PE38:6(22:6),0.3
M_HDL_FC,PE38:6(22:6),0.3
S_HDL_FC,PE38:6(22:6),0.3
S_HDL_FC_pct,PE38:6(22:6),0.3
Total_C,PE38:5(22:5),0.3
Total_PL,PE38:5(22:5),0.3
HDL_PL,PE38:5(22:5),0.3
Total_CE,PE38:5(22:5),0.3
Total_FC,PE38:5(22:5),0.3
HDL_FC,PE38:5(22:5),0.3
Total_L,PE38:5(22:5),0.3
HDL_L,PE38:5(22:5),0.3
Total_P,PE38:5(22:5),0.3
HDL_P,PE38:5(22:5),0.3
Phosphoglyc,PE38:5(22:5),0.3
Cholines,PE38:5(22:5),0.3
Phosphatidylc,PE38:5(22:5),0.3
Sphingomyelins,PE38:5(22:5),0.3
ApoA1,PE38:5(22:5),0.3
Total_FA,PE38:5(22:5),0.3
Omega_3,PE38:5(22:5),0.3
Omega_6,PE38:5(22:5),0.3
PUFA,PE38:5(22:5),0.3
SFA,PE38:5(22:5),0.3
LA,PE38:5(22:5),0.3
DHA,PE38:5(22:5),0.3
Omega_3_pct,PE38:5(22:5),0.3
Glucose,PE38:5(22:5),0.3
Pyruvate,PE38:5(22:5),0.3
Citrate,PE38:5(22:5),0.3
Acetoacetate,PE38:5(22:5),0.3
Albumin,PE38:5(22:5),0.3
XS_VLDL_P,PE38:5(22:5),0.3
XS_VLDL_L,PE38:5(22:5),0.3
XS_VLDL_PL,PE38:5(22:5),0.3
XS_VLDL_C,PE38:5(22:5),0.3
XS_VLDL_CE,PE38:5(22:5),0.3
XS_VLDL_FC,PE38:5(22:5),0.3
IDL_L,PE38:5(22:5),0.3
IDL_PL,PE38:5(22:5),0.3
IDL_TG,PE38:5(22:5),0.3
L_LDL_TG,PE38:5(22:5),0.3
XL_HDL_TG,PE38:5(22:5),0.3
L_HDL_TG,PE38:5(22:5),0.3
M_HDL_FC,PE38:5(22:5),0.3
S_HDL_FC,PE38:5(22:5),0.3
M_HDL_FC_pct,PE38:5(22:5),0.3
S_HDL_FC_pct,PE38:5(22:5),0.3
Remnant_C,PE38:4(20:4),0.3
LDL_TG,PE38:4(20:4),0.3
HDL_TG,PE38:4(20:4),0.3
Total_PL,PE38:4(20:4),0.3
Total_FC,PE38:4(20:4),0.3
Total_L,PE38:4(20:4),0.3
VLDL_P,PE38:4(20:4),0.3
Phosphoglyc,PE38:4(20:4),0.3
Cholines,PE38:4(20:4),0.3
Phosphatidylc,PE38:4(20:4),0.3
Sphingomyelins,PE38:4(20:4),0.3
Total_FA,PE38:4(20:4),0.3
Omega_3,PE38:4(20:4),0.3
Omega_6,PE38:4(20:4),0.3
PUFA,PE38:4(20:4),0.3
SFA,PE38:4(20:4),0.3
LA,PE38:4(20:4),0.3
DHA,PE38:4(20:4),0.3
Omega_3_pct,PE38:4(20:4),0.3
Glucose,PE38:4(20:4),0.3
Pyruvate,PE38:4(20:4),0.3
Acetoacetate,PE38:4(20:4),0.3
XS_VLDL_P,PE38:4(20:4),0.3
XS_VLDL_L,PE38:4(20:4),0.3
XS_VLDL_PL,PE38:4(20:4),0.3
XS_VLDL_C,PE38:4(20:4),0.3
XS_VLDL_CE,PE38:4(20:4),0.3
XS_VLDL_FC,PE38:4(20:4),0.3
XS_VLDL_TG,PE38:4(20:4),0.3
IDL_PL,PE38:4(20:4),0.3
IDL_TG,PE38:4(20:4),0.3
L_LDL_TG,PE38:4(20:4),0.3
M_LDL_TG,PE38:4(20:4),0.3
XL_HDL_TG,PE38:4(20:4),0.3
L_HDL_TG,PE38:4(20:4),0.3
M_HDL_TG,PE38:4(20:4),0.3
S_HDL_FC,PE38:4(20:4),0.3
S_HDL_FC_pct,PE38:4(20:4),0.3
HDL_PL,PE38:4(20:3),0.3
Phosphoglyc,PE38:4(20:3),0.3
Cholines,PE38:4(20:3),0.3
Phosphatidylc,PE38:4(20:3),0.3
Acetoacetate,PE38:4(20:3),0.3
M_HDL_PL,PE38:4(20:3),0.3
Total_PL,PE40:6(22:6),0.3
Total_L,PE40:6(22:6),0.3
Total_P,PE40:6(22:6),0.3
Phosphoglyc,PE40:6(22:6),0.3
Cholines,PE40:6(22:6),0.3
Phosphatidylc,PE40:6(22:6),0.3
Total_FA,PE40:6(22:6),0.3
Omega_3,PE40:6(22:6),0.3
Omega_6,PE40:6(22:6),0.3
PUFA,PE40:6(22:6),0.3
SFA,PE40:6(22:6),0.3
LA,PE40:6(22:6),0.3
Glucose,PE40:6(22:6),0.3
Acetoacetate,PE40:6(22:6),0.3
XS_VLDL_P,PE40:6(22:6),0.3
XS_VLDL_L,PE40:6(22:6),0.3
XS_VLDL_PL,PE40:6(22:6),0.3
XS_VLDL_C,PE40:6(22:6),0.3
XS_VLDL_CE,PE40:6(22:6),0.3
XS_VLDL_FC,PE40:6(22:6),0.3
IDL_TG,PE40:6(22:6),0.3
L_LDL_TG,PE40:6(22:6),0.3
XL_HDL_TG,PE40:6(22:6),0.3
S_HDL_FC,PE40:6(22:6),0.3
LDL_TG,PE40:5(20:4),0.3
HDL_TG,PE40:5(20:4),0.3
Phosphoglyc,PE40:5(20:4),0.3
Phosphatidylc,PE40:5(20:4),0.3
Total_FA,PE40:5(20:4),0.3
Omega_3,PE40:5(20:4),0.3
SFA,PE40:5(20:4),0.3
Acetoacetate,PE40:5(20:4),0.3
XS_VLDL_P,PE40:5(20:4),0.3
XS_VLDL_L,PE40:5(20:4),0.3
XS_VLDL_PL,PE40:5(20:4),0.3
XS_VLDL_C,PE40:5(20:4),0.3
XS_VLDL_FC,PE40:5(20:4),0.3
XS_VLDL_TG,PE40:5(20:4),0.3
IDL_TG,PE40:5(20:4),0.3
L_LDL_TG,PE40:5(20:4),0.3
M_LDL_TG,PE40:5(20:4),0.3
XL_HDL_TG,PE40:5(20:4),0.3
L_HDL_TG,PE40:5(20:4),0.3
M_HDL_TG,PE40:5(20:4),0.3
Total_PL,PE40:5(22:6),0.3
Total_L,PE40:5(22:6),0.3
Total_P,PE40:5(22:6),0.3
HDL_P,PE40:5(22:6),0.3
Phosphoglyc,PE40:5(22:6),0.3
Cholines,PE40:5(22:6),0.3
Phosphatidylc,PE40:5(22:6),0.3
Sphingomyelins,PE40:5(22:6),0.3
Total_FA,PE40:5(22:6),0.3
Omega_3,PE40:5(22:6),0.3
Omega_6,PE40:5(22:6),0.3
PUFA,PE40:5(22:6),0.3
SFA,PE40:5(22:6),0.3
LA,PE40:5(22:6),0.3
DHA,PE40:5(22:6),0.3
Glucose,PE40:5(22:6),0.3
Pyruvate,PE40:5(22:6),0.3
Acetoacetate,PE40:5(22:6),0.3
Albumin,PE40:5(22:6),0.3
XS_VLDL_L,PE40:5(22:6),0.3
XS_VLDL_PL,PE40:5(22:6),0.3
XS_VLDL_C,PE40:5(22:6),0.3
XS_VLDL_CE,PE40:5(22:6),0.3
XS_VLDL_FC,PE40:5(22:6),0.3
S_HDL_FC,PE40:5(22:6),0.3
VLDL_C,PE40:4p(20:4),0.3
LDL_TG,PE40:4p(20:4),0.3
VLDL_FC,PE40:4p(20:4),0.3
Total_L,PE40:4p(20:4),0.3
VLDL_P,PE40:4p(20:4),0.3
Total_FA,PE40:4p(20:4),0.3
Omega_3,PE40:4p(20:4),0.3
Omega_6,PE40:4p(20:4),0.3
PUFA,PE40:4p(20:4),0.3
SFA,PE40:4p(20:4),0.3
S_VLDL_P,PE40:4p(20:4),0.3
S_VLDL_L,PE40:4p(20:4),0.3
S_VLDL_PL,PE40:4p(20:4),0.3
XS_VLDL_P,PE40:4p(20:4),0.3
XS_VLDL_L,PE40:4p(20:4),0.3
XS_VLDL_PL,PE40:4p(20:4),0.3
XS_VLDL_TG,PE40:4p(20:4),0.3
IDL_TG,PE40:4p(20:4),0.3
L_LDL_TG,PE40:4p(20:4),0.3
M_LDL_TG,PE40:4p(20:4),0.3
Phosphatidylc,PE34:2,0.3
XL_HDL_TG,PE34:2,0.3
L_HDL_TG,PE34:2,0.3
Total_C,PE36:4,0.3
Remnant_C,PE36:4,0.3
HDL_C,PE36:4,0.3
LDL_TG,PE36:4,0.3
HDL_TG,PE36:4,0.3
Total_PL,PE36:4,0.3
HDL_PL,PE36:4,0.3
Total_CE,PE36:4,0.3
Total_FC,PE36:4,0.3
HDL_FC,PE36:4,0.3
Total_L,PE36:4,0.3
HDL_L,PE36:4,0.3
Total_P,PE36:4,0.3
HDL_P,PE36:4,0.3
HDL_size,PE36:4,0.3
Phosphoglyc,PE36:4,0.3
Cholines,PE36:4,0.3
Phosphatidylc,PE36:4,0.3
Sphingomyelins,PE36:4,0.3
ApoA1,PE36:4,0.3
Total_FA,PE36:4,0.3
Omega_3,PE36:4,0.3
Omega_6,PE36:4,0.3
PUFA,PE36:4,0.3
SFA,PE36:4,0.3
LA,PE36:4,0.3
DHA,PE36:4,0.3
Omega_3_pct,PE36:4,0.3
Glucose,PE36:4,0.3
Pyruvate,PE36:4,0.3
Citrate,PE36:4,0.3
Acetoacetate,PE36:4,0.3
Albumin,PE36:4,0.3
XS_VLDL_P,PE36:4,0.3
XS_VLDL_L,PE36:4,0.3
XS_VLDL_PL,PE36:4,0.3
XS_VLDL_C,PE36:4,0.3
XS_VLDL_CE,PE36:4,0.3
XS_VLDL_FC,PE36:4,0.3
XS_VLDL_TG,PE36:4,0.3
IDL_L,PE36:4,0.3
IDL_PL,PE36:4,0.3
IDL_C,PE36:4,0.3
IDL_CE,PE36:4,0.3
IDL_TG,PE36:4,0.3
L_LDL_TG,PE36:4,0.3
XL_HDL_P,PE36:4,0.3
XL_HDL_L,PE36:4,0.3
XL_HDL_PL,PE36:4,0.3
XL_HDL_C,PE36:4,0.3
XL_HDL_CE,PE36:4,0.3
XL_HDL_FC,PE36:4,0.3
XL_HDL_TG,PE36:4,0.3
L_HDL_P,PE36:4,0.3
L_HDL_L,PE36:4,0.3
L_HDL_PL,PE36:4,0.3
L_HDL_FC,PE36:4,0.3
L_HDL_TG,PE36:4,0.3
M_HDL_P,PE36:4,0.3
M_HDL_L,PE36:4,0.3
M_HDL_PL,PE36:4,0.3
M_HDL_C,PE36:4,0.3
M_HDL_FC,PE36:4,0.3
S_HDL_FC,PE36:4,0.3
L_HDL_FC_pct,PE36:4,0.3
M_HDL_FC_pct,PE36:4,0.3
S_HDL_FC_pct,PE36:4,0.3
LDL_TG,PE36:3,0.3
HDL_TG,PE36:3,0.3
Total_PL,PE36:3,0.3
Phosphoglyc,PE36:3,0.3
Cholines,PE36:3,0.3
Phosphatidylc,PE36:3,0.3
Total_FA,PE36:3,0.3
SFA,PE36:3,0.3
SFA_pct,PE36:3,0.3
XS_VLDL_P,PE36:3,0.3
XS_VLDL_L,PE36:3,0.3
XS_VLDL_PL,PE36:3,0.3
XS_VLDL_FC,PE36:3,0.3
XS_VLDL_TG,PE36:3,0.3
IDL_TG,PE36:3,0.3
L_LDL_TG,PE36:3,0.3
M_LDL_TG,PE36:3,0.3
XL_HDL_TG,PE36:3,0.3
L_HDL_TG,PE36:3,0.3
M_HDL_TG,PE36:3,0.3
Phosphoglyc,PE36:2,0.3
Acetoacetate,PE36:2,0.3
L_HDL_TG,PE36:2,0.3
Total_PL,PE38:6,0.3
HDL_PL,PE38:6,0.3
HDL_FC,PE38:6,0.3
